"Time(s)","SOH_C_Out","agingCapacitor.C_actual(F)"
0,0.00033,0.00033
1.90000000000001e-05,0.00033,0.000329999661266322
5e-05,0.00033,0.000329999302119836
6.90000000000001e-05,0.00033,0.000329998917643081
0.0001,0.00033,0.000329998509766198
0.000119,0.00033,0.000329998085332654
0.00015,0.00033,0.000329997653611379
0.000169,0.00033,0.000329997223799055
0.0002,0.00033,0.000329996803175922
0.000219,0.00033,0.000329996396280053
0.00025,0.00033,0.000329996004941789
0.000269,0.00033,0.000329995628845602
0.0003,0.00033,0.000329995266261431
0.000319,0.00033,0.000329994914729819
0.00035,0.00033,0.000329994571574462
0.000369,0.00033,0.000329994234259736
0.0004,0.00033,0.000329993900601021
0.000419,0.00033,0.000329993568867354
0.00045,0.00033,0.000329993237805424
0.000469,0.00033,0.00032999290660916
0.0005,0.00033,0.000329992574853164
0.000519,0.00033,0.000329992241462243
0.00055,0.00033,0.000329991905659426
0.000569,0.00033,0.000329991567622404
0.0006,0.00033,0.000329991227977086
0.000619,0.00033,0.000329990887540861
0.00065,0.00033,0.000329990547123666
0.000669,0.00033,0.00032999020739644
0.0007,0.00033,0.000329989868824675
0.000719,0.00033,0.000329989531655238
0.00075,0.00033,0.00032998919594021
0.000769,0.00033,0.000329988861581601
0.0008,0.00033,0.000329988528382992
0.000819,0.00033,0.00032998819609889
0.00085,0.00033,0.000329987864475554
0.000869,0.00033,0.000329987533280553
0.0009,0.00033,0.000329987202321223
0.000919,0.00033,0.000329986871453051
0.00095,0.00033,0.000329986540579504
0.000969,0.00033,0.000329986209646801
0.001,0.00033,0.000329985878635146
0.0010165,0.00033,0.000329985547103993
0.00105,0.00033,0.000329985214605709
0.0010665,0.00033,0.000329984881112791
0.0011,0.00033,0.000329984546827112
0.0011165,0.00033,0.00032998421206581
0.00115,0.00033,0.000329983877170471
0.0011665,0.00033,0.000329983542443646
0.0012,0.00033,0.000329983208112678
0.0012165,0.00033,0.00032998287431656
0.00125,0.00033,0.00032998254111
0.0012665,0.00033,0.000329982208478325
0.0013,0.00033,0.000329981876357599
0.0013165,0.00033,0.00032998154465516
0.00135,0.00033,0.000329981213268019
0.0013665,0.00033,0.000329980882097054
0.0014,0.00033,0.000329980551056526
0.0014165,0.00033,0.000329980220079284
0.00145,0.00033,0.000329979889117946
0.0014665,0.00033,0.000329979558143799
0.0015,0.00033,0.00032997922714345
0.0015165,0.00033,0.000329978895807772
0.00155,0.00033,0.000329978563733548
0.0015665,0.00033,0.000329978230836905
0.0016,0.00033,0.000329977897249727
0.0016165,0.00033,0.000329977563220406
0.00165,0.00033,0.000329977229032702
0.0016665,0.00033,0.000329976894947601
0.0017,0.00033,0.000329976561168264
0.0017165,0.00033,0.000329976227825155
0.00175,0.00033,0.000329975894976696
0.0017665,0.00033,0.000329975562620141
0.0018,0.00033,0.000329975230707732
0.0018165,0.00033,0.000329974899164089
0.00185,0.00033,0.000329974567902302
0.0018665,0.00033,0.000329974236836546
0.0019,0.00033,0.000329973905891058
0.0019165,0.00033,0.000329973575005153
0.00195,0.00033,0.000329973244135098
0.0019665,0.00033,0.000329972913253284
0.002,0.00033,0.000329972582346056
0.002019,0.00033,0.000329972251108477
0.00205,0.00033,0.000329971919133068
0.002069,0.00033,0.000329971586325472
0.0021,0.00033,0.000329971252808154
0.002119,0.00033,0.000329970918822539
0.00215,0.00033,0.000329970584648645
0.002169,0.00033,0.000329970250546969
0.0022,0.00033,0.00032996991672284
0.002219,0.00033,0.000329969583310771
0.00225,0.00033,0.000329969250374343
0.002269,0.00033,0.000329968917916384
0.0023,0.00033,0.000329968585894486
0.002319,0.00033,0.000329968254237995
0.00235,0.00033,0.000329967922863783
0.002369,0.00033,0.000329967591688913
0.0024,0.00033,0.000329967260639532
0.002419,0.00033,0.000329966929656142
0.00245,0.00033,0.000329966598695341
0.002469,0.00033,0.000329966267729547
0.0025,0.00033,0.000329965936744525
0.002519,0.00033,0.000329965605455285
0.00255,0.00033,0.000329965273462062
0.002569,0.00033,0.000329964940666821
0.0026,0.00033,0.000329964607187867
0.002619,0.00033,0.000329964273262296
0.00265,0.00033,0.000329963939165998
0.002669,0.00033,0.000329963605155365
0.0027,0.00033,0.000329963271432081
0.002719,0.00033,0.000329962938127515
0.00275,0.00033,0.000329962605302574
0.002769,0.00033,0.000329962272957815
0.0028,0.00033,0.000329961941048968
0.002819,0.00033,0.000329961609503856
0.00285,0.00033,0.000329961278238213
0.002869,0.00033,0.000329960947168166
0.0029,0.00033,0.000329960616219217
0.002919,0.00033,0.000329960285331337
0.00295,0.00033,0.000329959954460965
0.002969,0.00033,0.000329959623580328
0.003,0.00033,0.000329959292675414
0.0030165,0.00033,0.000329958961444935
0.00305,0.00033,0.000329958629481401
0.0030665,0.00033,0.000329958296687909
0.0031,0.00033,0.000329957963184826
0.0031165,0.00033,0.000329957629212066
0.00315,0.00033,0.000329957295048743
0.0031665,0.00033,0.000329956960954984
0.0032,0.00033,0.000329956627136165
0.0032165,0.00033,0.00032995629372713
0.00325,0.00033,0.000329955960791947
0.0032665,0.00033,0.000329955628333971
0.0033,0.00033,0.000329955296311292
0.0033165,0.00033,0.000329954964653669
0.00335,0.00033,0.000329954633278284
0.0033665,0.00033,0.000329954302102402
0.0034,0.00033,0.000329953971052274
0.0034165,0.00033,0.000329953640068434
0.00345,0.00033,0.000329953309107457
0.0034665,0.00033,0.000329952978141702
0.0035,0.00033,0.000329952647156866
0.0035165,0.00033,0.000329952315868399
0.00355,0.00033,0.000329951983876428
0.0035665,0.00033,0.000329951651082551
0.0036,0.00033,0.000329951317604839
0.0036165,0.00033,0.000329950983680268
0.00365,0.00033,0.000329950649584689
0.0036665,0.00033,0.000329950315574508
0.0037,0.00033,0.000329949981851455
0.0037165,0.00033,0.000329949648546898
0.00375,0.00033,0.000329949315721905
0.0037665,0.00033,0.000329948983377024
0.0038,0.00033,0.000329948651468019
0.0038165,0.00033,0.000329948319922735
0.00385,0.00033,0.000329947988656926
0.0038665,0.00033,0.000329947657586721
0.0039,0.00033,0.000329947326637627
0.0039165,0.00033,0.000329946995749615
0.00395,0.00033,0.000329946664879122
0.0039665,0.00033,0.000329946333998376
0.004,0.00033,0.000329946003093361
0.004019,0.00033,0.000329945671862768
0.00405,0.00033,0.000329945339899038
0.004069,0.00033,0.000329945007105259
0.0041,0.00033,0.000329944673601839
0.004119,0.00033,0.000329944339628746
0.00415,0.00033,0.000329944005465143
0.004169,0.00033,0.00032994367137119
0.0042,0.00033,0.000329943337552273
0.004219,0.00033,0.000329943004143227
0.00425,0.00033,0.000329942671208096
0.004269,0.00033,0.000329942338750205
0.0043,0.00033,0.000329942006727617
0.004319,0.00033,0.000329941675070063
0.00435,0.00033,0.00032994134369471
0.004369,0.00033,0.000329941012518814
0.0044,0.00033,0.000329940681468627
0.004419,0.00033,0.000329940350484687
0.00445,0.00033,0.000329940019523579
0.004469,0.00033,0.000329939688557674
0.0045,0.00033,0.00032993935757268
0.004519,0.00033,0.000329939026283977
0.00455,0.00033,0.000329938694291642
0.004569,0.00033,0.000329938361497314
0.0046,0.00033,0.000329938028019135
0.004619,0.00033,0.000329937694094152
0.00465,0.00033,0.000329937359998269
0.004669,0.00033,0.000329937025987919
0.0047,0.00033,0.000329936692264829
0.004719,0.00033,0.000329936358960399
0.00475,0.00033,0.000329936026135555
0.004769,0.00033,0.000329935693790859
0.0048,0.00033,0.000329935361882035
0.004819,0.00033,0.0003299350303369
0.00485,0.00033,0.000329934699071185
0.004869,0.00033,0.000329934368001015
0.0049,0.00033,0.000329934037051897
0.004919,0.00033,0.000329933706163809
0.00495,0.00033,0.000329933375293201
0.004969,0.00033,0.000329933044412315
0.005,0.00033,0.000329932713507148
0.0050165,0.00033,0.000329932382276306
0.00505,0.00033,0.000329932050312185
0.0050665,0.00033,0.000329931717517919
0.0051,0.00033,0.000329931384013992
0.0051165,0.00033,0.000329931050040447
0.00515,0.00033,0.000329930715876504
0.0051665,0.00033,0.000329930381782346
0.0052,0.00033,0.000329930047963363
0.0052165,0.00033,0.000329929714554364
0.00525,0.00033,0.000329929381619358
0.0052665,0.00033,0.000329929049161628
0.0053,0.00033,0.000329928717139198
0.0053165,0.00033,0.000329928385481771
0.00535,0.00033,0.000329928054106494
0.0053665,0.00033,0.000329927722930615
0.0054,0.00033,0.000329927391880386
0.0054165,0.00033,0.000329927060896355
0.00545,0.00033,0.00032992672993512
0.0054665,0.00033,0.000329926398969064
0.0055,0.00033,0.000329926067983907
0.0055165,0.00033,0.000329925736694954
0.00555,0.00033,0.000329925404702238
0.0055665,0.00033,0.000329925071907446
0.0056,0.00033,0.000329924738428792
0.0056165,0.00033,0.000329924404503394
0.00565,0.00033,0.00032992407040721
0.0056665,0.00033,0.000329923736396698
0.0057,0.00033,0.000329923402673582
0.0057165,0.00033,0.000329923069369237
0.00575,0.00033,0.000329922736544553
0.0057665,0.00033,0.000329922404200049
0.0058,0.00033,0.000329922072291413
0.0058165,0.00033,0.00032992174074643
0.00585,0.00033,0.000329921409480815
0.0058665,0.00033,0.000329921078410682
0.0059,0.00033,0.000329920747461542
0.0059165,0.00033,0.000329920416573379
0.00595,0.00033,0.000329920085702658
0.0059665,0.00033,0.000329919754821633
0.006,0.00033,0.000329919423916315
0.006019,0.00033,0.000329919092685225
0.00605,0.00033,0.000329918760720714
0.006069,0.00033,0.000329918427925965
0.0061,0.00033,0.000329918094421532
0.006119,0.00033,0.000329917760447537
0.00615,0.00033,0.000329917426283251
0.006169,0.00033,0.000329917092188889
0.0062,0.00033,0.000329916758369836
0.006219,0.00033,0.000329916424960881
0.00625,0.00033,0.000329916092025994
0.006269,0.00033,0.00032991575956842
0.0063,0.00033,0.000329915427546145
0.006319,0.00033,0.000329915095888842
0.00635,0.00033,0.000329914764513638
0.006369,0.00033,0.000329914433337774
0.0064,0.00033,0.000329914102287504
0.006419,0.00033,0.000329913771303382
0.00645,0.00033,0.000329913440342019
0.006469,0.00033,0.000329913109375812
0.0065,0.00033,0.000329912778390495
0.006519,0.00033,0.000329912447101293
0.00655,0.00033,0.000329912115108201
0.006569,0.00033,0.000329911782312945
0.0066,0.00033,0.000329911448833816
0.006619,0.00033,0.000329911114908002
0.00665,0.00033,0.000329910780811515
0.006669,0.00033,0.000329910446800836
0.0067,0.00033,0.000329910113077688
0.006719,0.00033,0.000329909779773422
0.00675,0.00033,0.00032990944694889
0.006769,0.00033,0.000329909114604572
0.0068,0.00033,0.000329908782696118
0.006819,0.00033,0.000329908451151284
0.00685,0.00033,0.000329908119885765
0.006869,0.00033,0.000329907788815668
0.0069,0.00033,0.000329907457866504
0.006919,0.00033,0.000329907126978266
0.00695,0.00033,0.000329906796107432
0.006969,0.00033,0.000329906465226268
0.007,0.00033,0.0003299061343208
0.0070165,0.00033,0.000329905803089465
0.00705,0.00033,0.000329905471124567
0.0070665,0.00033,0.000329905138329336
0.0071,0.00033,0.0003299048048244
0.0071165,0.00033,0.000329904470849954
0.00715,0.00033,0.000329904136685325
0.0071665,0.00033,0.000329903802590754
0.0072,0.00033,0.000329903468771627
0.0072165,0.00033,0.000329903135362708
0.00725,0.00033,0.000329902802427935
0.0072665,0.00033,0.00032990246997051
0.0073,0.00033,0.000329902137948384
0.0073165,0.00033,0.0003299018062912
0.00735,0.00033,0.000329901474916067
0.0073665,0.00033,0.000329901143740217
0.0074,0.00033,0.000329900812689905
0.0074165,0.00033,0.000329900481705693
0.00745,0.00033,0.000329900150744203
0.0074665,0.00033,0.000329899819777847
0.0075,0.00033,0.00032989948879237
0.0075165,0.00033,0.000329899157502922
0.00755,0.00033,0.000329898825509454
0.0075665,0.00033,0.000329898492713738
0.0076,0.00033,0.000329898159234134
0.0076165,0.00033,0.000329897825307904
0.00765,0.00033,0.000329897491211111
0.0076665,0.00033,0.00032989715720026
0.0077,0.00033,0.000329896823477073
0.0077165,0.00033,0.000329896490172878
0.00775,0.00033,0.000329896157348491
0.0077665,0.00033,0.000329895825004352
0.0078,0.00033,0.000329895493096074
0.0078165,0.00033,0.000329895161551384
0.00785,0.00033,0.000329894830285958
0.0078665,0.00033,0.000329894499215895
0.0079,0.00033,0.000329894168266706
0.0079165,0.00033,0.000329893837378394
0.00795,0.00033,0.000329893506507447
0.0079665,0.00033,0.000329893175626209
0.008,0.00033,0.000329892844720592
0.008019,0.00033,0.000329892513489014
0.00805,0.00033,0.000329892181523733
0.008069,0.00033,0.000329891848728021
0.0081,0.00033,0.000329891515222584
0.008119,0.00033,0.000329891181247687
0.00815,0.00033,0.000329890847082714
0.008169,0.00033,0.00032989051298793
0.0082,0.00033,0.000329890179168722
0.008219,0.00033,0.000329889845759833
0.00825,0.00033,0.000329889512825166
0.008269,0.00033,0.000329889180367885
0.0083,0.00033,0.000329888848345902
0.008319,0.00033,0.000329888516688833
0.00835,0.00033,0.000329888185313768
0.008369,0.00033,0.000329887854137929
0.0084,0.00033,0.000329887523087574
0.008419,0.00033,0.000329887192103272
0.00845,0.00033,0.000329886861141656
0.008469,0.00033,0.000329886530175152
0.0085,0.00033,0.000329886199189516
0.008519,0.00033,0.000329885867899825
0.00855,0.00033,0.000329885535905984
0.008569,0.00033,0.000329885203109811
0.0086,0.00033,0.000329884869629736
0.008619,0.00033,0.000329884535703091
0.00865,0.00033,0.000329884201605988
0.008669,0.00033,0.000329883867594962
0.0087,0.00033,0.00032988353387173
0.008719,0.00033,0.000329883200567599
0.00875,0.00033,0.000329882867743351
0.008769,0.00033,0.000329882535399385
0.0088,0.00033,0.000329882203491277
0.008819,0.00033,0.000329881871946726
0.00885,0.00033,0.000329881540681389
0.008869,0.00033,0.000329881209611358
0.0089,0.00033,0.000329880878662144
0.008919,0.00033,0.000329880547773757
0.00895,0.00033,0.000329880216902698
0.008969,0.00033,0.000329879886021262
0.009,0.00033,0.000329879555115497
0.0090165,0.00033,0.000329879223883679
0.00905,0.00033,0.000329878891918017
0.0090665,0.00033,0.000329878559121827
0.0091,0.00033,0.00032987822561589
