"Time(s)","agingCapacitor.ESR_actual(Ohm)","highFreq_Rc_Observer.Rc_hat"
0,0.025,0.025
5e-05,0.0250000889066351,0.0240101959406937
0.0001,0.0250001831713177,0.0227138954601007
0.00015,0.0250002840847948,0.0217425209318303
0.0002,0.0250003911405405,0.0209939084219897
0.00025,0.0250005025424122,0.0203807056707296
0.0003,0.0250006158576172,0.0198472297768078
0.00035,0.0250007286722844,0.0193562316099078
0.0004,0.0250008390755185,0.0188824136777022
0.00045,0.0250009458761469,0.0184100029861823
0.0005,0.0250010485936993,0.0179318921105512
0.00055,0.0250011473109446,0.0174481646767063
0.0006,0.0250012424819423,0.0169633761088495
0.00065,0.0250013347522129,0.0164834818704887
0.0007,0.0250014248242069,0.0160137041897512
0.00075,0.0250015133634581,0.0155575661885374
0.0008,0.0250016009433786,0.0151168427320189
0.00085,0.02500168801831,0.014691922778177
0.0009,0.0250017749172231,0.0142822257985475
0.00095,0.0250018618516992,0.0138865667616284
0.001,0.0250019489334002,0.0135034463741465
0.00105,0.0250020364445537,0.0131320927735953
0.0011,0.0250021245891108,0.0127757880145642
0.00115,0.0250022133204363,0.0124343514912127
0.0012,0.0250023024742403,0.0121055870968992
0.00125,0.0250023918359692,0.0117866762339138
0.0013,0.0250024811930224,0.0114749108236092
0.00135,0.025002570369282,0.0111680494751535
0.0014,0.0250026592425567,0.0108644839073012
0.00145,0.0250027477480419,0.0105632638940671
0.0015,0.0250028358720623,0.0102640034134688
0.00155,0.0250029236403365,0.00996674622299339
0.0016,0.0250030111044201,0.00967182738099417
0.00165,0.0250030983287516,0.00937968204499858
0.0017,0.0250031853799359,0.00909080476286223
0.00175,0.0250032723189849,0.00880567656267609
0.0018,0.025003359196472,0.00852465709388627
0.00185,0.0250034460503314,0.00824798256797847
0.0019,0.0250035329059036,0.00797576725212761
0.00195,0.0250036197773064,0.00770802417839954
0.002,0.025003706669736,0.00744469702697254
0.00205,0.0250037936988401,0.00718689942683477
0.0021,0.0250038809821261,0.00693646669540018
0.00215,0.0250039685268173,0.00669445666484149
0.0022,0.0250040562799225,0.00646063909965302
0.00225,0.0250041441581916,0.00623411394416299
0.0023,0.025004232071956,0.00601369904521509
0.00235,0.0250043199417926,0.0057981839581743
0.0024,0.0250044077080199,0.00558658070245107
0.00245,0.0250044953341496,0.00537810837413651
0.0025,0.0250045828058183,0.00517232779749287
0.00255,0.0250046701268764,0.00496914156772403
0.0026,0.0250047573141068,0.0047686180282062
0.00265,0.0250048443918329,0.00457097343181296
0.0027,0.0250049313870907,0.00437645212105745
0.00275,0.0250050183259008,0.00418526102201407
0.0028,0.0250051052307707,0.00399759293952717
0.00285,0.0250051921193286,0.00381359150494472
0.0029,0.0250052790040135,0.00363335120766524
0.00295,0.0250053658923627,0.00345692301050101
0.003,0.0250054527878925,0.00328430699254164
0.00305,0.0250055397717566,0.00311536953592227
0.0031,0.0250056269498112,0.0029519833492117
0.00315,0.0250057143440769,0.00279526276453124
0.0032,0.0250058019199331,0.00264528441517012
0.00325,0.0250058896121712,0.00250136992613315
0.0033,0.0250059773462971,0.00236249398803461
0.00335,0.0250060650537946,0.00222755894655296
0.0034,0.0250061526813266,0.00209556657385944
0.00345,0.0250062401946418,0.00196579013200295
0.0035,0.0250063275784009,0.00183771048632018
0.00355,0.0250064148333238,0.0017110191829939
0.0036,0.0250065019719467,0.00158564230099865
0.00365,0.0250065890140591,0.00146168841287994
0.0037,0.0250066759824764,0.00133936111435687
0.00375,0.0250067628997308,0.00121890175455895
0.0038,0.0250068497857124,0.00110055323682746
0.00385,0.0250069366563527,0.000984556935480047
0.0039,0.0250070235231334,0.000871069800012801
0.00395,0.0250071103933033,0.00076017961393481
0.004,0.0250071972704473,0.000651929488810201
0.00405,0.0250072842346243,0.000547033443342289
0.0041,0.0250073713928175,0.000446815581234235
0.00415,0.0250074587698012,0.000352486471589391
0.0042,0.0250075463334249,0.000264312146704915
0.00425,0.0250076340203055,0.000181770916413951
0.0043,0.0250077217569261,0.000103834815224179
0.00435,0.0250078094748936,2.93652631635798e-05
0.0044,0.0250078971202988,-4.27286453473497e-05
0.00445,0.0250079846578245,-0.0001133013285792
0.0045,0.025008072070776,-0.000182962171848165
0.00455,0.0250081593584098,-0.000252116960470569
0.0046,0.0250082465318586,-0.000320902145565113
0.00465,0.0250083336096722,-0.00038924200316796
0.0047,0.0250084206136749,-0.000456927712829295
0.00475,0.0250085075656417,-0.000523689920880371
0.0048,0.0250085944849628,-0.000589246495035825
0.00485,0.0250086813872596,-0.000653344114410731
0.0049,0.0250087682839272,-0.000715781336975789
0.00495,0.0250088551822079,-0.000776416989225807
0.005,0.0250089420858391,-0.000835172397261887
0.00505,0.0250090290696484,-0.000892046773083627
0.0051,0.0250091162385999,-0.000945707921920965
0.00515,0.0250092036184361,-0.000994959509492464
0.0052,0.0250092911780966,-0.00103935896234735
0.00525,0.0250093788553299,-0.00107922464642767
0.0053,0.0250094665776979,-0.00111539937227679
0.00535,0.0250095542778807,-0.00114898534324717
0.0054,0.0250096419029221,-0.00118110981599825
0.00545,0.0250097294183283,-0.00121279793930125
0.0055,0.0250098168081053,-0.00124477646924405
0.00555,0.0250099040721055,-0.0012774457808762
0.0056,0.0250099912219521,-0.00131093448321503
0.00565,0.0250100782765956,-0.00134525672736753
0.0057,0.0250101652581606,-0.00138016821188453
0.00575,0.0250102521886695,-0.00141528221470538
0.0058,0.0250103390876831,-0.0014502227191769
0.00585,0.0250104259709636,-0.00148459433874969
0.0059,0.0250105128499487,-0.00151813511053502
0.00595,0.0250105997319308,-0.00155067789178597
0.006,0.0250106866205894,-0.00158210912887215
0.00605,0.0250107735950366,-0.00161191196507464
0.0061,0.0250108607622731,-0.00163901569576389
0.00615,0.0250109481477452,-0.0016622585943018
0.0062,0.0250110357198496,-0.00168113542207352
0.00625,0.0250111234155899,-0.00169591014735468
0.0063,0.0250112111616768,-0.00170737480096563
0.00635,0.0250112988898051,-0.00171663706504106
0.0064,0.0250113865460454,-0.00172486490307448
0.00645,0.0250114740949885,-0.00173312128876963
0.0065,0.0250115615198101,-0.00174219686917722
0.00655,0.0250116488196278,-0.00175251168173213
0.0066,0.0250117360054453,-0.00176419745656349
0.00665,0.0250118230957062,-0.00177708437084533
0.0067,0.0250119101121569,-0.00179086908357209
0.00675,0.0250119970765224,-0.00180525494546721
0.0068,0.0250120840081676,-0.00181989592680313
0.00685,0.0250121709227082,-0.00183446822810956
0.0069,0.0250122578315472,-0.00184869559986601
0.00695,0.0250123447419427,-0.00186235475018747
0.007,0.025012431657651,-0.00187530037349734
0.00705,0.0250125186533942,-0.00188740529605966
0.0071,0.02501260583418,-0.00189759646323832
0.00715,0.0250126932258506,-0.00190467767421792
0.0072,0.0250127807974023,-0.00190802787173182
0.00725,0.0250128684866069,-0.00190775662300525
0.0073,0.0250129562210262,-0.00190459593028386
0.00735,0.0250130439333272,-0.00189959966025823
0.0074,0.0250131315705347,-0.00189392914922422
0.00745,0.0250132190981496,-0.00188889004370111
0.0075,0.0250133065001343,-0.00188529684163821
0.00755,0.0250133937763429,-0.00188349671493291
0.0076,0.0250134809383913,-0.00188358057981134
0.00765,0.0250135680052267,-0.00188537518368384
0.0077,0.025013654998972,-0.00188858888663889
0.00775,0.0250137419416521,-0.00189286504785087
0.0078,0.0250138288528292,-0.00189781145522571
0.00785,0.0250139157482673,-0.00190295047589979
0.0079,0.0250140026394063,-0.00190798384229267
0.00795,0.02501408953354,-0.00191272398273113
0.008,0.0250141764343489,-0.00191702998199089
0.00805,0.0250142634209623,-0.00192060700254723
0.0081,0.0250143506004126,-0.00192252419396203
0.00815,0.0250144379981533,-0.00192155546364726
0.0082,0.0250145255825652,-0.00191703150554272
0.00825,0.0250146132906294,-0.00190903910948505
0.0083,0.0250147010490332,-0.00189833305764992
0.00835,0.0250147887894535,-0.0018860061456524
0.0084,0.0250148764579505,-0.00187323014439106
0.00845,0.0250149640191126,-0.00186101958335122
0.0085,0.0250150514561192,-0.0018501327325217
0.00855,0.0250151387680955,-0.00184106161056547
0.0086,0.0250152259660546,-0.00183397486767767
0.00865,0.0250153130684492,-0.00182876373905852
0.0087,0.0250154000970332,-0.00182514136706118
0.00875,0.0250154870735368,-0.00182273875643118
0.0088,0.0250155740173275,-0.00182115355908059
0.00885,0.0250156609440219,-0.00182003190631017
0.0089,0.0250157478650218,-0.00181906916956829
0.00895,0.0250158347875834,-0.00181799377753383
0.009,0.0250159217154608,-0.00181662712153922
0.00905,0.0250160087234051,-0.00181478652420232
0.0091,0.025016095916451,-0.00181147501469958
0.00915,0.0250161833204339,-0.00180550537750688
0.0092,0.0250162709043274,-0.00179619937483937
0.00925,0.0250163586058758,-0.00178361367224976
0.0093,0.0250164463526168,-0.00176843584704192
0.00935,0.0250165340772012,-0.00175171272316091
0.0094,0.0250166217266465,-0.00173460892368778
0.00945,0.0250167092664411,-0.00171817721473451
0.0095,0.0250167966805818,-0.00170322622763868
0.00955,0.0250168839689198,-0.0016902502322348
0.0096,0.0250169711430825,-0.00167942523131503
0.00965,0.0250170582220275,-0.00167071393519632
0.0097,0.0250171452278868,-0.00166383729705811
0.00975,0.025017232182689,-0.0016583819356005
0.0098,0.0250173191059994,-0.00165391613543748
0.00985,0.0250174060135822,-0.00164999759646398
0.0099,0.0250174929168756,-0.00164629417131348
0.00995,0.0250175798231706,-0.00164256680808626
0.01,0.025017666736145,-0.00163864474143117
0.01005,0.0250177537349611,-0.00163429773422365
0.0101,0.0250178409266786,-0.00162864006111032
0.01015,0.0250179283367422,-0.00162042097501754
0.0102,0.0250180159335083,-0.00160891507582513
0.01025,0.0250181036539293,-0.00159417041821535
0.0103,0.0250181914246679,-0.00157689532780485
0.01035,0.0250182791773842,-0.00155816588936208
0.0104,0.0250183668581313,-0.00153915670346478
0.01045,0.0250184544314987,-0.00152093044539766
0.0105,0.0250185418806729,-0.00150428829857533
0.01055,0.02501862920479,-0.00148969770043991
0.0106,0.0250187164148744,-0.00147730965928951
0.01065,0.0250188035293893,-0.0014670604599676
0.0107,0.0250188905700967,-0.00145868253462008
0.01075,0.0250189775587318,-0.00145174299991588
0.0108,0.0250190645146649,-0.00144580184954417
0.01085,0.0250191514535122,-0.0014404330435873
0.0109,0.0250192383866742,-0.00143528382365074
0.01095,0.0250193253214042,-0.00143012057777099
0.011,0.0250194122614535,-0.00142477774260862
0.01105,0.025019499281604,-0.00141909937592584
0.0111,0.0250195864869161,-0.00141219519332979
0.01115,0.0250196739032168,-0.00140282547376699
0.0112,0.0250197614994561,-0.0013902569565336
0.01125,0.0250198492133505,-0.00137451900181019
0.0113,0.0250199369724141,-0.00135627717023364
0.01135,0.0250200247092815,-0.00133657881222065
0.0114,0.0250201123709638,-0.00131658741835977
0.01145,0.0250201999229507,-0.00129741697720837
0.0115,0.0250202873492467,-0.00127988239757625
0.01155,0.0250203746497137,-0.00126444873707293
0.0116,0.0250204618359908,-0.00125127324914635
0.01165,0.0250205489270461,-0.00124010749216518
0.0117,0.0250206359450194,-0.00123066434335046
0.01175,0.0250207229119449,-0.00122263302759764
0.0118,0.0250208098473899,-0.00121563084742578
0.01185,0.0250208967671188,-0.0012093140894857
0.0119,0.0250209836825679,-0.00120334520181998
0.01195,0.0250210706010259,-0.00119744640875152
0.012,0.0250211575261672,-0.00119142780955336
0.01205,0.0250212445371874,-0.00118503393020819
0.0121,0.0250213317411736,-0.00117738216239145
0.01215,0.0250214191635607,-0.00116723861465063
0.0122,0.0250215067726822,-0.00115387792805572
0.01225,0.0250215945054616,-0.00113733128628617
0.0123,0.0250216822885368,-0.00111831391164308
